customer_id,order_id,category,quantity,price_per_unit,order_date,delivery_date
CUST1000,ORD2000,Nutrients,13,69.26,2025-07-26,2025-09-30
CUST1001,ORD2001,Nutrients,58,79.11,2025-06-20,2025-09-23
CUST1002,ORD2002,Nutrients,31,237.53,2024-09-17,2025-10-05
CUST1003,ORD2003,Chemicals,1,480.01,2025-06-11,2025-09-30
CUST1004,ORD2004,Biotech,99,352.8,2025-04-28,2025-09-27
CUST1005,ORD2005,Pharma,100,164.4,2025-06-27,2025-10-07
CUST1006,ORD2006,Pharma,59,344.87,2025-01-03,2025-10-01
CUST1007,ORD2007,Enzymes,32,406.94,2025-01-31,2025-10-08
CUST1008,ORD2008,Pharma,44,154.32,2025-05-23,2025-10-16
CUST1009,ORD2009,Nutrients,32,438.0,2024-11-12,2025-09-19
CUST1010,ORD2010,Nutrients,70,372.75,2024-09-25,2025-10-04
CUST1011,ORD2011,Enzymes,65,392.73,2024-12-27,2025-10-04
CUST1012,ORD2012,Biotech,57,345.14,2025-02-28,2025-10-11
CUST1013,ORD2013,Pharma,71,398.89,2025-09-03,2025-10-16
CUST1014,ORD2014,Biotech,56,272.71,2025-06-20,2025-10-05
CUST1015,ORD2015,Enzymes,62,71.15,2025-02-07,2025-10-09
CUST1016,ORD2016,Pharma,9,192.39,2025-08-21,2025-10-03
CUST1017,ORD2017,Pharma,58,301.84,2025-09-02,2025-10-14
CUST1018,ORD2018,Biotech,91,388.3,2025-02-11,2025-09-20
CUST1019,ORD2019,Enzymes,53,58.38,2025-01-14,2025-10-07
CUST1020,ORD2020,Nutrients,69,176.73,2024-11-28,2025-10-08
CUST1021,ORD2021,Chemicals,36,84.45,2024-10-12,2025-10-07
CUST1022,ORD2022,Chemicals,68,474.65,2025-03-04,2025-10-04
CUST1023,ORD2023,Enzymes,35,431.6,2025-08-18,2025-10-06
CUST1024,ORD2024,Biotech,19,330.75,2025-05-02,2025-09-30
CUST1025,ORD2025,Biotech,27,389.92,2025-09-14,2025-10-12
CUST1026,ORD2026,Enzymes,4,100.36,2025-05-31,2025-09-30
CUST1027,ORD2027,Biotech,89,216.57,2025-08-18,2025-09-21
CUST1028,ORD2028,Enzymes,98,427.13,2025-04-08,2025-09-20
CUST1029,ORD2029,Pharma,88,433.11,2024-12-16,2025-10-10
CUST1030,ORD2030,Pharma,62,244.05,2024-10-30,2025-09-18
CUST1031,ORD2031,Chemicals,80,499.96,2025-06-29,2025-10-11
CUST1032,ORD2032,Enzymes,62,183.39,2025-05-12,2025-10-09
CUST1033,ORD2033,Nutrients,28,336.67,2025-07-07,2025-09-25
CUST1034,ORD2034,Nutrients,46,101.56,2025-08-11,2025-10-09
CUST1035,ORD2035,Pharma,61,393.01,2024-10-06,2025-10-15
CUST1036,ORD2036,Pharma,53,62.0,2025-06-23,2025-10-02
CUST1037,ORD2037,Biotech,22,153.84,2024-10-02,2025-09-23
CUST1038,ORD2038,Enzymes,33,68.48,2024-10-10,2025-10-01
CUST1039,ORD2039,Nutrients,38,311.8,2024-10-03,2025-09-22
CUST1040,ORD2040,Enzymes,84,210.47,2024-10-07,2025-10-11
CUST1041,ORD2041,Chemicals,78,151.25,2025-01-03,2025-09-28
CUST1042,ORD2042,Enzymes,64,120.0,2024-11-17,2025-09-20
CUST1043,ORD2043,Pharma,64,222.56,2025-03-16,2025-10-03
CUST1044,ORD2044,Enzymes,14,473.85,2025-04-28,2025-10-08
CUST1045,ORD2045,Biotech,70,211.85,2024-10-27,2025-09-25
CUST1046,ORD2046,Biotech,52,254.77,2025-04-18,2025-10-06
CUST1047,ORD2047,Chemicals,87,340.83,2025-06-22,2025-10-02
CUST1048,ORD2048,Enzymes,93,106.44,2025-09-05,2025-10-07
CUST1049,ORD2049,Biotech,48,436.78,2024-11-07,2025-09-26
